command,scope,metric,bytes,dimensions_json
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_proof,885,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_lookup,886,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""successor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,state_root,32,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,forced_recovery_opening,850,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_proof,810,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,membership_lookup,819,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_proof,851,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing current proofs:,exclusion_lookup,852,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""context"":""historical_predecessor_after_apply"",""family"":""MMB""}"
002-sizes-1000000-1000000-512-1,clearing omitted payer:,activity_absence,769,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""activity_rows"":""999999""}"
002-sizes-1000000-1000000-512-1,clearing omitted payer:,challenge,978,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""activity_rows"":""999999""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,rows,1,"{""A"":""0"",""E"":""0"",""K"":""1"",""N"":""256"",""S"":""0"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,signatures,0,"{""A"":""0"",""E"":""0"",""K"":""1"",""N"":""256"",""S"":""0"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,entries,0,"{""A"":""0"",""E"":""0"",""K"":""1"",""N"":""256"",""S"":""0"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,operator,1,"{""A"":""0"",""E"":""0"",""K"":""1"",""N"":""256"",""S"":""0"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,dealing,2,"{""A"":""0"",""E"":""0"",""K"":""1"",""N"":""256"",""S"":""0"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,rows,68,"{""A"":""2"",""E"":""1"",""K"":""1"",""N"":""256"",""S"":""1"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,signatures,64,"{""A"":""2"",""E"":""1"",""K"":""1"",""N"":""256"",""S"":""1"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,entries,5,"{""A"":""2"",""E"":""1"",""K"":""1"",""N"":""256"",""S"":""1"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,operator,49,"{""A"":""2"",""E"":""1"",""K"":""1"",""N"":""256"",""S"":""1"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,dealing,186,"{""A"":""2"",""E"":""1"",""K"":""1"",""N"":""256"",""S"":""1"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,rows,4222,"{""A"":""126"",""E"":""63"",""K"":""1"",""N"":""256"",""S"":""63"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,signatures,4032,"{""A"":""126"",""E"":""63"",""K"":""1"",""N"":""256"",""S"":""63"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,entries,315,"{""A"":""126"",""E"":""63"",""K"":""1"",""N"":""256"",""S"":""63"",""graph"":""sparse_first_last""}"
002-sizes-1000000-1000000-512-1,clearing calculator parity:,operator,49,"{""A"":""126"",""E"":""63"",""K"":""1"",""N"":""256"",""S"":""63"",""graph"":""sparse_first_last""}"
